# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   5312.0000      5.167503   1
   5325.0000     -5.224690  -1
   5339.0000      5.265300   1
   5352.0000     -5.277524  -1
   5367.0000      5.266095   1
   5380.0000     -5.215367  -1
   5394.0000      5.165555   1
   5407.0000     -5.106514  -1
   5421.0000      5.031434   1
   5434.0000     -5.007731  -1
   5448.0000      4.999277   1
   5461.0000     -5.018148  -1
   5475.0000      5.104794   1
   5489.0000     -5.165126  -1
   5502.0000      5.236882   1
   5516.0000     -5.283483  -1
   5530.0000      5.275183   1
   5543.0000     -5.260229  -1
   5557.0000      5.198231   1
   5570.0000     -5.118062  -1
   5584.0000      5.058705   1
   5598.0000     -4.995100  -1
   5611.0000      4.994477   1
   5625.0000     -5.024914  -1
   5638.0000      5.058242   1
   5652.0000     -5.135375  -1
   5665.0000      5.185007   1
   5679.0000     -5.231971  -1
   5693.0000      5.263329   1
   5707.0000     -5.263732  -1
   5720.0000      5.256750   1
   5734.0000     -5.195957  -1
   5747.0000      5.129891   1
   5761.0000     -5.068132  -1
   5774.0000      5.004614   1
   5788.0000     -4.997359  -1
   5801.0000      5.003651   1
   5816.0000     -5.049807  -1
   5828.0000      5.124893   1
   5843.0000     -5.227380  -1
   5856.0000      5.254934   1
   5870.0000     -5.299959  -1
   5883.0000      5.289031   1
   5897.0000     -5.220672  -1
   5910.0000      5.171733   1
   5924.0000     -5.062335  -1
   5937.0000      5.019173   1
   5952.0000     -4.996169  -1
   5965.0000      4.986030   1
   5979.0000     -5.056720  -1
   5992.0000      5.086474   1
   6006.0000     -5.184083  -1
   6019.0000      5.230676   1
   6033.0000     -5.256856  -1
   6046.0000      5.302945   1
   6061.0000     -5.273856  -1
   6073.0000      5.232155   1
   6088.0000     -5.167505  -1
   6101.0000      5.090749   1
   6115.0000     -5.040883  -1
   6128.0000      5.010565   1
   6142.0000     -5.011381  -1
   6155.0000      5.047405   1
   6169.0000     -5.100667  -1
   6182.0000      5.182312   1
   6197.0000     -5.250570  -1
   6209.0000      5.283641   1
