# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   4761.1043      5.935577  A
   4773.8558    184.838036  D
   4788.1861      3.713561  A
   4801.1678    183.333999  D
   4815.3789      3.072418  A
   4828.6203    183.098421  D
   4842.6521      3.161669  A
   4856.0407    183.028520  D
   4869.9153      2.668144  A
   4883.2899    181.920320  D
   4897.0934      0.825148  A
   4910.3607    179.527852  D
   4924.1902    358.004324  A
   4937.3971    176.739316  D
   4951.2874    355.479609  A
   4964.5712    174.767623  D
   4978.4591    354.223915  A
   4991.9344    174.110767  D
   5005.7052    354.106001  A
   5019.3968    174.151625  D
   5032.9632    354.088166  A
   5046.7871    173.596560  D
   5060.1519    352.939343  A
   5073.9769    171.626738  D
   5087.2464    350.253682  A
   5100.9936    168.593305  D
   5114.3307    347.156348  A
   5128.0609    166.035434  D
   5141.5092    345.249206  A
   5155.3447    164.975722  D
   5168.7767    344.863929  A
   5182.7909    164.920045  D
   5196.0430    344.954942  A
   5210.2309    164.631158  D
   5223.2236    344.171749  A
   5237.5020    163.008253  D
   5250.3117    341.967990  A
   5264.5873    160.280940  D
   5277.3932    339.051529  A
   5291.6200    157.627636  D
   5304.5659    336.764259  A
   5318.7692    156.113652  D
   5331.8433    335.841019  A
   5346.0946    155.834002  D
   5359.1566    335.874265  A
   5373.5144    155.828732  D
   5386.4005    335.668654  A
   5400.8905    154.915254  D
   5413.5153    334.154645  A
   5428.0883    152.514666  D
   5440.5562    331.251638  A
   5455.1212    149.388190  D
   5467.6789    328.271619  A
   5482.1789    147.162252  D
   5494.9687    326.692908  A
   5509.4118    146.490833  D
   5522.3489    326.510840  A
   5536.7896    146.539034  D
   5549.6565    326.451643  A
   5564.1679    145.954992  D
   5576.8064    325.291375  A
   5591.4049    143.893783  D
   5603.8458    322.763906  A
   5618.4907    140.947717  D
   5630.9290    319.863101  A
   5645.5418    138.495447  D
   5658.1749    317.920223  A
   5672.6874    137.380238  D
   5685.5527    317.294662  A
   5699.9618    137.319986  D
   5712.9432    317.339933  A
   5727.2957    137.243350  D
   5740.2220    316.877123  A
   5754.5794    135.987225  D
   5767.3219    314.999153  A
   5781.7310    133.287463  D
   5794.3404    312.005483  A
   5808.7850    130.238795  D
   5821.4821    309.320744  A
   5835.8816    128.374301  D
   5848.8376    308.112018  A
   5863.1037    128.026207  D
   5876.3037    308.088263  A
   5890.4004    128.091705  D
   5903.6780    307.788981  A
   5917.6631    127.184303  D
   5930.8500    306.207164  A
   5944.8191    124.810229  D
   5957.8769    303.455350  A
   5971.8999    121.846907  D
   5984.9521    300.769212  A
   5999.0078    119.706722  D
   6012.2147    299.279619  A
   6026.2009    118.956815  D
   6039.6302    298.949101  A
   6053.4552    119.015642  D
   6067.0750    298.956643  A
   6080.7016    118.745459  D
   6094.3951    298.090166  A
   6107.8738    117.187405  D
   6121.5157    295.819536  A
   6134.9656    114.352796  D
   6148.5288    292.842912  A
   6162.0621    111.507510  D
   6175.6493    290.596206  A
   6189.2521    110.000809  D
   6202.9946    289.852158  A
   6216.5201    109.842988  D
   6230.4708    289.881326  A
   6243.7734    109.811517  D
   6257.8825    289.257950  A
   6270.9322    108.591101  D
   6285.0881    287.213535  A
   6298.0080    105.941329  D
   6312.1226    284.271662  A
   6325.1073    103.011969  D
   6339.1817    281.869531  A
   6352.3114    101.166839  D
   6366.4098    280.812232  A
   6379.5966    100.681675  D
   6393.7947    280.724806  A
   6406.8788    100.766646  D
   6421.2225    280.587020  A
   6434.0780    100.257348  D
   6448.5417    279.258735  A
   6461.1685     98.357682  D
   6475.6780    276.611597  A
   6488.2279     95.393060  D
   6502.7012    273.687970  A
   6515.3895     92.746960  D
   6529.8008    271.867371  A
   6542.6962     91.545973  D
   6557.0903    271.495065  A
   6570.0562     91.537015  D
   6584.4991    271.512501  A
   6597.3260     91.325418  D
   6611.8682    270.528835  A
   6624.4322     89.720859  D
   6639.0622    268.037865  A
   6651.4636     86.811629  D
   6666.1084    264.986293  A
   6678.5922     83.969533  D
   6693.1745    262.883066  A
   6705.8875     82.448364  D
   6720.3751    262.210368  A
   6733.2782     82.220579  D
   6747.6949    262.257880  A
   6760.6213     82.207092  D
   6775.0410    261.886473  A
   6787.8220     81.337079  D
   6802.2936    260.198088  A
   6814.8799     79.108303  D
