# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   4202.6307    219.128050  D
   4217.0245     37.577943  A
   4229.6983    216.353235  D
   4244.0578     34.745738  A
   4256.8326    213.685878  D
   4271.1430     32.740405  A
   4284.0935    212.268632  D
   4298.4002     32.078804  A
   4311.4268    212.074810  D
   4325.8049     32.105877  A
   4338.7108    212.049990  D
   4353.2161     31.550707  A
   4365.8548    210.896188  D
   4380.4642     29.387050  A
   4392.8893    208.184803  D
   4407.5253     26.217542  A
   4419.9792    205.062124  D
   4434.5612     23.691596  A
   4447.2480    203.132559  D
   4461.7396     22.714823  A
   4474.6272    202.672871  D
   4489.0697     22.748439  A
   4501.9761    202.728445  D
   4516.4331     22.479375  A
   4529.1904    202.035510  D
   4543.7110     20.951839  A
   4556.2616    199.984795  D
   4570.8463     18.261765  A
   4583.3107    197.125259  D
   4597.9003     15.519913  A
   4610.4872    194.725416  D
   4625.0046     13.900952  A
   4637.8310    193.647752  D
   4652.2321     13.574207  A
   4665.2571    193.625649  D
   4679.5511     13.621375  A
   4692.6001    193.387186  D
   4706.8558     12.748946  A
   4719.7518    191.844428  D
   4734.0377     10.299630  A
   4746.7645    188.939513  D
   4761.1021      7.123276  A
   4773.8541    186.027774  D
   4788.1843      4.905647  A
   4801.1664    184.526616  D
   4815.3773      4.265306  A
   4828.6190    184.290828  D
   4842.6504      4.353336  A
   4856.0394    184.219613  D
   4869.9137      3.859383  A
   4883.2887    183.112583  D
   4897.0921      2.019028  A
   4910.3598    180.724111  D
   4924.1894    359.203401  A
   4937.3966    177.940749  D
   4951.2871    356.683321  A
   4964.5710    175.972382  D
   4978.4590    355.429342  A
   4991.9343    175.315895  D
   5005.7052    355.310626  A
   5019.3968    175.355667  D
   5032.9631    355.291791  A
   5046.7871    174.800686  D
   5060.1521    354.144454  A
   5073.9772    172.834251  D
   5087.2471    351.463715  A
   5100.9945    169.806598  D
   5114.3319    348.372026  A
   5128.0621    167.253012  D
   5141.5107    346.467521  A
   5155.3460    166.193900  D
   5168.7783    346.081740  A
   5182.7922    166.137161  D
   5196.0446    346.171720  A
   5210.2322    165.848167  D
   5223.2253    345.389427  A
   5237.5036    164.228006  D
   5250.3138    343.189712  A
   5264.5895    161.505762  D
   5277.3958    340.278406  A
   5291.6226    158.856693  D
   5304.5688    337.994237  A
   5318.7718    157.344099  D
   5331.8463    337.071261  A
   5346.0972    157.063619  D
   5359.1596    337.103148  A
   5373.5170    157.057036  D
   5386.4036    336.897179  A
   5400.8934    156.145477  D
   5413.5187    335.386024  A
   5428.0916    153.749690  D
   5440.5600    332.488352  A
   5455.1251    150.628282  D
   5467.6830    329.512662  A
   5482.1831    148.404371  D
   5494.9728    327.935228  A
   5509.4158    147.731741  D
   5522.3531    327.751073  A
   5536.7936    147.778903  D
   5549.6607    327.691377  A
   5564.1721    147.196086  D
   5576.8110    326.533659  A
   5591.4096    145.138550  D
   5603.8507    324.010934  A
   5618.4960    142.197097  D
   5630.9341    321.114373  A
   5645.5475    139.747056  D
   5658.1801    319.171977  A
   5672.6931    138.631278  D
   5685.5577    318.544639  A
   5699.9674    138.569959  D
   5712.9483    318.589508  A
   5727.3013    138.492461  D
   5740.2274    318.127206  A
   5754.5853    137.238766  D
   5767.3276    316.252697  A
   5781.7376    134.543698  D
   5794.3464    313.263217  A
   5808.7921    131.498325  D
   5821.4880    310.579942  A
   5835.8888    129.633879  D
   5848.8433    309.370508  A
   5863.1107    129.283725  D
   5876.3094    309.344567  A
   5890.4073    129.347855  D
   5903.6839    309.045796  A
   5917.6703    128.442486  D
   5930.8565    307.467708  A
   5944.8269    126.072645  D
   5957.8837    304.719812  A
   5971.9082    123.112445  D
   5984.9588    302.035521  A
   5999.0161    120.972224  D
   6012.2212    300.543520  A
   6026.2091    120.219629  D
   6039.6365    300.210435  A
   6053.4633    120.276499  D
   6067.0815    300.218535  A
   6080.7098    120.006994  D
   6094.4019    299.352905  A
   6107.8825    118.452224  D
   6121.5230    297.085652  A
   6134.9746    115.621194  D
   6148.5363    294.111036  A
   6162.0712    112.776232  D
   6175.6566    291.863316  A
   6189.2610    111.266803  D
   6203.0017    291.118160  A
   6216.5289    111.106430  D
   6230.4777    291.144113  A
   6243.7824    111.075128  D
   6257.8899    290.523264  A
   6270.9415    109.857613  D
   6285.0960    288.482249  A
   6298.0176    107.211040  D
   6312.1308    285.541829  A
   6325.1168    104.281580  D
   6339.1899    283.138062  A
   6352.3206    102.433583  D
   6366.4176    282.077189  A
   6379.6057    101.945597  D
   6393.8023    281.988244  A
   6406.8879    102.030110  D
   6421.2301    281.850601  A
   6434.0874    101.522236  D
   6448.5499    280.523940  A
   6461.1782     99.624502  D
   6475.6867    277.878977  A
   6488.2375     96.660563  D
   6502.7101    274.954691  A
   6515.3987     94.012069  D
   6529.8095    273.131257  A
   6542.7051     92.807874  D
   6557.0986    272.756328  A
   6570.0652     92.797745  D
   6584.5073    272.771976  A
   6597.3351     92.585740  D
   6611.8770    271.790863  A
   6624.4416     90.982981  D
   6639.0713    269.301962  A
   6651.4729     88.074325  D
   6666.1177    266.248903  A
   6678.6011     85.229897  D
   6693.1837    264.141857  A
   6705.8959     83.705947  D
   6720.3840    263.465263  A
   6733.2865     83.474649  D
   6747.7037    263.511436  A
   6760.6298     83.460536  D
   6775.0499    263.141805  A
   6787.8308     82.592262  D
   6802.3029    261.453504  A
