# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   3787.0000      5.271886   1
   3802.0000     -5.281073  -1
   3815.0000      5.240340   1
   3829.0000     -5.169885  -1
   3842.0000      5.123465   1
   3856.0000     -5.029338  -1
   3869.0000      5.009645   1
   3884.0000     -4.978136  -1
   3896.0000      5.007031   1
   3911.0000     -5.080199  -1
   3923.0000      5.113840   1
   3938.0000     -5.226649  -1
   3951.0000      5.251874   1
   3965.0000     -5.278779  -1
   3978.0000      5.290104   1
   3993.0000     -5.220104  -1
   4005.0000      5.174817   1
   4020.0000     -5.082436  -1
   4033.0000      5.005521   1
   4047.0000     -4.993721  -1
   4060.0000      4.995581   1
   4074.0000     -5.047190  -1
   4087.0000      5.104976   1
   4101.0000     -5.180632  -1
   4114.0000      5.240622   1
   4129.0000     -5.259018  -1
   4141.0000      5.279309   1
   4156.0000     -5.256348  -1
   4169.0000      5.184921   1
   4183.0000     -5.136501  -1
   4196.0000      5.081496   1
   4210.0000     -5.017203  -1
   4223.0000      5.003757   1
   4237.0000     -5.001048  -1
   4250.0000      5.029120   1
   4264.0000     -5.097041  -1
   4278.0000      5.140764   1
   4292.0000     -5.215876  -1
   4305.0000      5.264373   1
   4319.0000     -5.281701  -1
   4332.0000      5.258362   1
   4346.0000     -5.190584  -1
   4359.0000      5.122987   1
   4373.0000     -5.036955  -1
   4387.0000      4.970064   1
   4400.0000     -4.970458  -1
   4414.0000      5.010800   1
   4427.0000     -5.047380  -1
   4441.0000      5.141188   1
   4455.0000     -5.179926  -1
   4468.0000      5.245907   1
   4482.0000     -5.276752  -1
   4496.0000      5.227967   1
   4509.0000     -5.223832  -1
   4523.0000      5.154126   1
   4536.0000     -5.079896  -1
   4550.0000      5.043200   1
   4563.0000     -4.975061  -1
   4577.0000      4.996092   1
   4590.0000     -4.992402  -1
   4604.0000      5.043896   1
   4618.0000     -5.117865  -1
   4632.0000      5.207803   1
   4645.0000     -5.254385  -1
   4659.0000      5.284872   1
   4672.0000     -5.273898  -1
   4686.0000      5.219902   1
   4699.0000     -5.146463  -1
   4713.0000      5.063409   1
   4727.0000     -5.006070  -1
   4741.0000      4.975417   1
   4754.0000     -4.979417  -1
   4768.0000      5.048574   1
   4781.0000     -5.090270  -1
   4795.0000      5.187456   1
   4808.0000     -5.241283  -1
   4822.0000      5.253434   1
