# 月行九道 — Ecliptic trajectory (λ, β)
# DE440 1900–2100, 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   beta(deg)
    248.0000    299.672582      3.975544
    249.0000    314.130140      4.612972
    250.0000    329.010205      4.960576
    251.0000    344.184582      4.969846
    252.0000    359.479677      4.625908
    253.0000     14.706055      3.954500
    254.0000     29.693242      3.017755
    255.0000     44.316804      1.900549
    256.0000     58.509632      0.693856
    257.0000     72.257955     -0.518454
    258.0000     85.588187     -1.666569
    259.0000     98.551268     -2.696244
    260.0000    111.208847     -3.567210
    261.0000    123.623063     -4.250648
    262.0000    135.850103     -4.727022
    263.0000    147.937064     -4.984752
    264.0000    159.921504     -5.019649
    265.0000    171.833090     -4.834798
    266.0000    183.696735     -4.440500
    267.0000    195.536579     -3.853993
    268.0000    207.380143     -3.098849
    269.0000    219.262007     -2.204126
    270.0000    231.226471     -1.203540
    271.0000    243.328762     -0.134933
    272.0000    255.634415      0.959718
    273.0000    268.216388      2.033736
    274.0000    281.149363      3.034889
    275.0000    294.500663      3.904975
    276.0000    308.317569      4.581042
    277.0000    322.612099      4.999799
    278.0000    337.346508      5.106355
    279.0000    352.425326      4.866687
    280.0000      7.700295      4.280250
    281.0000     22.990867      3.386713
    282.0000     38.115449      2.261943
    283.0000     52.922432      1.003635
    284.0000     67.310398     -0.287296
    285.0000     81.233399     -1.522047
    286.0000     94.694100     -2.631853
    287.0000    107.730774     -3.568896
    288.0000    120.403401     -4.303048
    289.0000    132.781839     -4.817365
    290.0000    144.937093     -5.104179
    291.0000    156.935555     -5.162525
    292.0000    168.835765     -4.996927
    293.0000    180.687180     -4.617219
    294.0000    192.530579     -4.038948
    295.0000    204.399753     -3.283902
    296.0000    216.324140     -2.380413
    297.0000    228.331983     -1.363210
    298.0000    240.453481     -0.272804
    299.0000    252.723379      0.845440
    300.0000    265.182401      1.942323
    301.0000    277.876941      2.965733
    302.0000    290.856501      3.861511
    303.0000    304.168419      4.574610
    304.0000    317.849747      5.051284
    305.0000    331.916792      5.243229
    306.0000    346.354003      5.114322
    307.0000      1.105382      4.649572
    308.0000     16.072500      3.863965
    309.0000     31.122362      2.807197
    310.0000     46.104962      1.560378
    311.0000     60.876091      0.223975
    312.0000     75.318385     -1.099183
    313.0000     89.354773     -2.319429
    314.0000    102.952296     -3.369421
    315.0000    116.117933     -4.205924
    316.0000    128.889886     -4.806364
    317.0000    141.327565     -5.163280
    318.0000    153.502368     -5.279063
    319.0000    165.490200     -5.162164
    320.0000    177.365861     -4.825064
    321.0000    189.199085     -4.283752
    322.0000    201.051924     -3.558291
    323.0000    212.977231     -2.673958
    324.0000    225.018123     -1.662466
    325.0000    237.208326     -0.562751
    326.0000    249.573324      0.579048
    327.0000    262.132125      1.710643
    328.0000    274.899318      2.775664
    329.0000    287.886941      3.716466
    330.0000    301.105599      4.477325
    331.0000    314.564267      5.007760
    332.0000    328.268394      5.265942
